,1,2,3,4,5,6,7,8,9,10,11,12
1,816,748,652,540,435,350,349,427,518,608,703,754
2,816,747,650,538,433,349,350,429,520,610,705,756
3,816,745,647,535,431,348,350,430,521,611,706,757
4,816,744,645,533,429,348,351,432,523,613,708,758
5,816,742,643,531,427,347,352,433,525,615,710,800
6,815,740,641,528,425,347,353,435,526,616,712,801
7,815,738,638,526,424,346,354,437,528,618,714,802
8,814,737,636,524,422,346,355,438,530,620,716,803
9,814,735,634,522,420,345,356,440,531,622,717,804
10,813,733,631,519,418,345,357,442,533,623,719,805
11,813,731,629,517,417,344,358,443,535,625,721,807
12,812,729,627,515,415,344,359,445,536,627,723,808
13,811,727,624,513,413,344,400,447,538,629,725,808
14,810,725,622,510,412,344,402,448,539,630,726,809
15,810,723,620,508,410,344,403,450,541,632,728,810
16,809,721,617,506,409,344,404,451,543,634,730,811
17,808,719,615,504,407,344,405,453,544,636,732,812
18,807,717,613,502,406,344,407,455,546,637,733,812
19,806,715,610,459,404,344,408,456,548,639,735,813
20,805,713,608,457,403,344,409,458,549,641,737,814
21,804,711,606,455,402,344,411,500,551,643,739,814
22,802,709,603,453,400,344,412,501,553,645,740,815
23,801,707,601,451,359,345,414,503,554,646,742,815
24,800,705,559,449,358,345,415,505,556,648,744,815
25,759,703,556,447,357,345,416,506,558,650,745,816
26,757,701,554,445,356,346,418,508,559,652,747,816
27,756,658,552,443,355,346,419,510,601,654,748,816
28,754,656,549,441,354,347,421,511,603,656,750,816
29,753,654,547,439,353,347,422,513,605,657,751,816
30,752,0,545,437,352,348,424,515,606,659,753,816
31,750,0,542,0,351,0,426,516,0,701,0,816
