GMT,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykM,MaxWindSpeedKm/h,MeanWindSpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2014-01-01,11,9,7,9,7,5,93,87,81,994,986,980,10,8,5,40,29,0.0,5.0,1,161
2014-01-02,10,7,4,8,5,3,93,82,76,995,992,987,10,10,4,40,19,0.0,2.0,1,190
2014-01-03,10,8,5,8,3,2,87,77,62,996,990,987,10,10,4,47,32,0.0,2.0,1,208
2014-01-04,7,6,4,5,4,2,93,88,87,997,989,987,10,9,7,19,13,0.0,4.0,1,208
2014-01-05,9,4,1,7,4,0,93,87,81,1001,997,991,10,9,5,37,18,0.0,3.0,1,170
2014-01-06,12,10,9,6,6,5,82,74,62,994,990,989,10,9,8,37,27,0.0,2.0,1,204
2014-01-07,11,9,8,6,5,4,87,73,66,1005,1000,994,10,10,7,35,27,0.0,3.0,1,210
2014-01-08,11,8,7,9,6,4,93,85,81,1013,1009,1002,10,9,4,27,18,0.0,4.0,1,194
2014-01-09,11,6,2,9,3,0,93,77,62,1011,1006,998,10,10,8,27,21,0.0,3.0,0,240
2014-01-10,8,4,1,6,4,-1,93,86,81,1013,1011,1010,10,10,10,19,13,0.0,2.0,1,198
2014-01-11,8,4,2,6,2,-1,93,76,61,1022,1018,1010,10,9,5,19,14,0.0,3.0,1,253
2014-01-12,6,3,0,5,3,-1,93,88,81,1018,1012,1006,10,6,3,24,16,0.0,5.0,1,146
2014-01-13,9,7,4,4,3,2,93,84,71,1005,1001,998,10,10,10,39,16,0.0,3.0,1,181
2014-01-14,6,3,0,5,2,-1,93,85,76,1005,1003,999,10,8,5,21,14,0.0,4.0,1,205
2014-01-15,11,9,7,8,8,5,93,87,82,1000,994,989,10,9,4,29,19,0.0,6.0,1,184
2014-01-16,9,7,5,7,4,3,93,84,71,990,987,984,10,10,10,27,16,0.0,3.0,0,170
2014-01-17,9,6,3,5,4,2,93,84,76,992,988,984,10,10,8,21,16,0.0,3.0,1,187
2014-01-18,9,6,3,6,6,2,93,84,76,992,989,987,10,9,6,29,18,0.0,6.0,1,142
2014-01-19,8,6,2,4,2,0,87,79,66,998,995,992,10,10,10,21,13,0.0,2.0,0,222
2014-01-20,8,3,-2,4,2,-3,93,88,71,1011,1009,1005,10,6,0,8,3,0.0,3.0,1,181
2014-01-21,7,3,-1,5,2,-2,100,88,81,1011,1007,1003,10,7,0,24,11,0.0,5.0,1,156
2014-01-22,9,7,6,6,6,5,93,87,81,1008,1004,1002,10,9,5,23,14,0.0,5.0,1,212
2014-01-23,8,4,1,4,1,-2,93,72,53,1014,1011,1008,10,9,8,32,18,0.0,3.0,1,261
2014-01-24,7,3,1,6,3,-1,93,88,76,1014,1011,1010,10,7,3,23,13,0.0,6.0,1,161
2014-01-25,11,8,5,7,5,1,93,81,70,1012,1009,1004,10,9,2,40,18,0.0,4.0,1,229
2014-01-26,10,7,3,8,3,-1,93,78,53,1002,992,988,10,8,2,34,27,0.0,4.0,1,221
2014-01-27,8,6,4,3,2,1,93,80,66,986,985,983,10,10,9,32,21,0.0,3.0,1,210
2014-01-28,8,7,5,5,4,3,93,85,81,983,980,979,10,9,6,29,23,0.0,4.0,1,176
2014-01-29,6,4,4,4,3,2,93,87,81,998,995,991,10,8,6,27,18,0.0,6.0,1,79
2014-01-30,4,3,2,3,2,0,93,91,81,1004,1003,1002,6,3,1,21,14,0.0,7.0,1,23
2014-01-31,9,6,2,7,4,1,100,89,81,1004,992,981,10,6,1,39,19,0.0,7.0,1,174
2014-02-01,9,6,3,7,2,0,87,74,62,987,985,981,10,9,6,47,27,0.0,4.0,1,206
2014-02-02,9,7,5,4,3,3,87,76,71,1007,1004,1001,10,10,10,29,21,0.0,2.0,0,209
2014-02-03,8,7,5,4,2,1,87,76,66,1003,999,994,10,10,10,34,24,0.0,4.0,0,135
2014-02-04,8,6,3,4,2,1,87,76,66,997,992,983,10,10,10,37,24,0.0,4.0,1,159
2014-02-05,9,7,6,6,4,2,87,76,66,985,977,971,10,10,9,58,37,0.0,5.0,1,179
2014-02-06,8,7,5,13,4,3,93,85,71,993,986,980,10,8,3,35,21,0.0,6.0,1,110
2014-02-07,9,6,3,5,2,0,93,77,57,994,989,979,10,9,4,35,19,0.0,3.0,1,223
2014-02-08,9,7,6,5,3,1,87,71,58,980,972,969,10,9,6,48,37,0.0,4.0,1,191
2014-02-09,9,7,4,3,2,1,81,70,58,986,982,977,10,10,10,48,37,0.0,4.0,1,230
2014-02-10,7,3,0,4,1,-2,93,86,81,999,993,989,10,10,8,21,10,0.0,4.0,1,208
2014-02-11,7,3,1,5,1,-2,93,76,57,999,993,984,10,9,5,39,21,0.0,3.0,1,219
2014-02-12,9,6,2,4,2,-1,87,74,57,999,985,978,10,9,7,58,32,0.0,4.0,1,203
2014-02-13,8,4,2,1,0,-1,87,73,57,996,990,985,10,10,9,40,26,0.0,2.0,0,223
2014-02-14,11,7,3,7,4,0,87,82,67,996,982,967,10,8,5,52,27,0.0,4.0,1,169
2014-02-15,9,8,7,4,3,1,76,72,62,994,983,969,10,9,8,69,47,0.0,5.0,1,237
2014-02-16,9,6,3,2,0,-2,81,65,50,1007,1006,1005,10,10,10,23,16,0.0,2.0,0,220
2014-02-17,10,8,6,7,6,4,93,83,76,1006,1005,1004,10,10,9,29,19,0.0,5.0,1,165
2014-02-18,10,8,5,7,5,3,93,84,71,1009,1007,1006,10,10,7,16,11,0.0,4.0,1,219
2014-02-19,10,7,4,8,6,3,93,83,71,1011,1009,1005,10,10,6,23,13,0.0,4.0,1,203
2014-02-20,12,7,3,9,5,1,93,78,62,1004,998,996,10,9,4,37,23,0.0,4.0,1,215
2014-02-21,8,6,3,3,2,1,87,78,71,1001,1000,999,10,10,10,39,21,0.0,2.0,1,216
2014-02-22,10,7,4,4,3,2,87,69,58,1009,1007,1000,10,10,10,34,23,0.0,2.0,0,218
2014-02-23,13,11,10,7,7,6,82,72,67,1005,1005,1004,10,10,10,35,32,0.0,5.0,1,197
2014-02-24,11,9,8,6,6,5,87,76,67,1003,1001,997,10,10,7,35,24,0.0,4.0,1,190
2014-02-25,10,8,4,6,4,2,87,79,62,1004,998,995,10,9,6,35,24,0.0,3.0,1,194
2014-02-26,10,6,2,5,3,0,93,76,58,1013,1011,1004,10,10,10,29,16,0.0,2.0,0,207
2014-02-27,10,6,2,5,2,-1,93,73,50,1009,1004,1001,10,10,10,32,21,0.0,3.0,1,228
2014-02-28,7,4,2,3,2,1,93,84,71,1004,1001,995,10,8,6,24,14,0.0,4.0,1,360
2014-03-01,10,4,-1,3,1,-2,93,74,50,1004,1002,1000,10,9,5,13,6,0.0,2.0,1,246
2014-03-02,10,8,7,6,6,5,87,83,76,995,989,981,10,9,5,37,29,0.0,6.0,1,175
2014-03-03,8,4,1,4,2,0,93,84,71,997,987,981,10,9,0,14,8,0.0,4.0,1,101
2014-03-04,10,6,1,4,2,-1,93,73,50,1011,1004,997,10,10,10,21,10,0.0,2.0,1,240
2014-03-05,10,6,1,5,3,-1,93,78,62,1022,1020,1012,10,10,10,16,10,0.0,2.0,0,204
2014-03-06,11,9,7,7,7,4,93,84,76,1023,1021,1018,10,9,7,27,19,0.0,6.0,1,192
2014-03-07,15,9,4,9,4,-1,87,69,44,1028,1023,1016,10,10,8,34,21,0.0,3.0,1,267
2014-03-08,15,9,4,7,5,0,87,70,51,1028,1023,1020,10,9,7,34,18,0.0,4.0,0,173
2014-03-09,18,14,10,7,6,5,76,55,42,1021,1021,1020,9,8,7,23,18,0.0,0.0,0,191
2014-03-10,11,8,5,5,4,1,81,73,66,1034,1031,1027,10,10,9,24,18,0.0,3.0,0,36
2014-03-11,12,8,5,4,3,1,81,71,58,1036,1035,1034,10,10,10,24,19,0.0,3.0,0,59
2014-03-12,11,7,3,6,4,2,93,84,71,1035,1032,1031,10,5,1,16,11,0.0,6.0,1,49
2014-03-13,13,7,1,8,5,0,100,88,72,1031,1030,1029,6,3,0,11,5,0.0,3.0,1,195
2014-03-14,15,8,2,8,5,1,93,80,55,1030,1026,1024,10,4,0,26,10,0.0,4.0,1,236
2014-03-15,16,12,8,6,3,1,76,56,39,1028,1026,1025,10,10,10,32,21,0.0,1.0,0,284
2014-03-16,17,12,8,7,6,4,81,59,51,1024,1023,1022,10,10,10,23,18,0.0,1.0,0,291
2014-03-17,13,10,7,6,5,3,81,66,58,1022,1020,1018,10,10,10,26,14,0.0,2.0,0,242
2014-03-18,13,10,7,8,6,4,87,70,54,1020,1015,1012,10,10,6,37,23,0.0,4.0,1,251
2014-03-19,14,11,8,8,6,4,81,71,63,1021,1020,1018,10,10,10,29,21,0.0,1.0,0,229
2014-03-20,14,11,8,8,6,3,87,72,58,1010,1003,1000,10,9,6,39,27,0.0,4.0,1,216
2014-03-21,11,7,4,3,2,1,87,70,50,1005,1002,996,10,10,7,39,23,0.0,3.0,1,212
2014-03-22,9,7,5,4,2,0,87,76,57,998,996,995,10,10,7,34,21,0.0,4.0,1,225
2014-03-23,9,7,5,3,1,-2,81,61,46,1012,1008,1005,10,10,10,32,24,0.0,3.0,0,303
2014-03-24,11,6,0,3,0,-2,87,61,44,1014,1009,1006,10,9,7,34,18,0.0,2.0,1,154
2014-03-25,9,7,5,6,4,2,93,83,71,1018,1010,1005,10,9,6,21,14,0.0,5.0,1,61
2014-03-26,8,6,3,3,2,0,93,80,61,1020,1017,1014,10,9,5,32,13,0.0,3.0,1,353
2014-03-27,9,6,2,3,2,1,93,84,62,1014,1013,1012,10,7,3,21,11,0.0,5.0,1,71
2014-03-28,12,7,2,6,4,1,93,72,58,1016,1015,1014,10,5,0,23,16,0.0,3.0,1,58
2014-03-29,18,14,11,5,4,2,62,48,34,1015,1014,1012,8,6,4,27,21,0.0,1.0,0,83
2014-03-30,19,13,7,9,7,5,87,60,43,1013,1013,1012,10,7,4,19,11,0.0,1.0,0,94
2014-03-31,17,12,8,10,8,6,87,72,55,1013,1012,1011,10,8,4,14,10,0.0,1.0,1,126
2014-04-01,15,12,9,8,8,6,93,74,55,1011,1010,1008,10,8,4,11,8,0.0,4.0,1,140
2014-04-02,15,12,10,11,9,7,87,81,72,1008,1003,1001,6,4,4,26,16,0.0,1.0,1,62
2014-04-03,11,10,9,8,8,7,93,85,82,1002,1001,1001,4,2,2,24,18,0.0,7.0,1,24
