GMT,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykM,MaxWindSpeedKm/h,MeanWindSpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2012-01-01,7.0,4.0,3.0,3.0,2.0,1.0,93.0,80.0,66.0,1009.0,1006.0,1004.0,10.0,10.0,10.0,35.0,19.0,0.0,1.0,0,215
2012-01-02,7.0,4.0,3.0,3.0,2.0,1.0,93.0,80.0,66.0,1009.0,1006.0,1004.0,10.0,10.0,10.0,35.0,19.0,0.0,1.0,0,215
2012-01-03,12.0,8.0,5.0,10.0,4.0,1.0,94.0,76.0,62.0,1006.0,998.0,990.0,10.0,9.0,5.0,52.0,42.0,0.0,4.0,1,242
2012-01-04,10.0,7.0,4.0,7.0,4.0,0.0,93.0,79.0,66.0,1017.0,1009.0,999.0,10.0,9.0,7.0,50.0,31.0,0.0,4.0,1,235
2012-01-05,11.0,9.0,7.0,8.0,4.0,2.0,82.0,72.0,54.0,1018.0,1006.0,997.0,10.0,9.0,6.0,53.0,39.0,0.0,3.0,1,285
2012-01-06,9.0,6.0,3.0,8.0,4.0,2.0,93.0,83.0,76.0,1026.0,1023.0,1018.0,10.0,10.0,10.0,27.0,16.0,0.0,3.0,0,235
2012-01-07,10.0,9.0,8.0,9.0,4.0,2.0,94.0,70.0,58.0,1023.0,1021.0,1017.0,10.0,10.0,8.0,24.0,18.0,0.0,4.0,1,265
2012-01-08,11.0,9.0,8.0,8.0,6.0,3.0,87.0,75.0,66.0,1027.0,1026.0,1025.0,10.0,10.0,10.0,21.0,13.0,0.0,4.0,0,248
2012-01-09,12.0,8.0,4.0,9.0,7.0,3.0,93.0,83.0,76.0,1032.0,1029.0,1025.0,10.0,10.0,10.0,23.0,16.0,0.0,4.0,0,248
2012-01-10,12.0,9.0,6.0,9.0,7.0,5.0,100.0,87.0,82.0,1032.0,1031.0,1030.0,10.0,10.0,7.0,21.0,13.0,0.0,4.0,1,230
