,1,2,3,4,5,6,7,8,9,10,11,12
1,816,748,653,541,436,350,348,426,517,607,702,753
2,816,746,651,539,434,350,349,428,519,609,704,755
3,816,744,648,537,432,349,350,429,520,610,706,756
4,816,743,646,534,430,348,351,431,522,612,707,758
5,815,741,644,532,428,347,352,433,524,614,709,759
6,815,739,642,530,426,347,352,434,525,616,711,800
7,815,738,639,527,425,346,353,436,527,617,713,801
8,814,736,637,525,423,346,354,438,529,619,715,803
9,814,734,635,523,421,345,355,439,530,621,716,804
10,813,732,633,520,419,345,356,441,532,623,718,805
11,812,730,630,518,418,345,358,442,534,624,720,806
12,812,728,628,516,416,344,359,444,535,626,722,807
13,811,726,626,514,414,344,400,446,537,628,724,808
14,810,724,623,511,413,344,401,447,539,630,725,809
15,809,722,621,509,411,344,402,449,540,631,727,810
16,808,720,619,507,410,344,403,451,542,633,729,811
17,807,718,616,505,408,343,405,452,544,635,731,811
18,806,716,614,503,407,344,406,454,545,637,733,812
19,805,714,612,500,405,344,407,456,547,638,734,813
20,804,712,609,458,404,344,409,457,549,640,736,813
21,803,710,607,456,402,344,410,459,550,642,738,814
22,802,708,605,454,401,344,411,501,552,644,739,814
23,801,706,602,452,400,344,413,502,554,646,741,815
24,759,704,600,450,359,345,414,504,555,647,743,815
25,758,702,558,448,357,345,416,506,557,649,744,816
26,757,659,555,446,356,346,417,507,559,651,746,816
27,755,657,553,444,355,346,419,509,600,653,747,816
28,754,655,551,442,354,347,420,510,602,655,749,816
29,752,0,548,440,353,347,422,512,604,656,751,816
30,751,0,546,438,352,348,423,514,605,658,752,816
31,749,0,544,0,351,0,425,515,0,700,0,816
