GMT,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressurehPa,MeanSeaLevelPressurehPa,MinSeaLevelPressurehPa,MaxVisibilityKm,MeanVisibilityKm,MinVisibilitykM,MaxWindSpeedKm/h,MeanWindSpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-01-01,13,11,10,11,10,9,94,90,82,1025,1022,1017,10.0,10.0,8.0,35,27,0.0,6.0,1,207
2015-01-02,9,6,2,1,1,-1,87,69,57,1033,1030,1024,10.0,10.0,10.0,35,21,0.0,2.0,1,245
2015-01-03,5,3,2,4,3,1,100,97,76,1029,1020,1016,10.0,8.0,4.0,19,13,0.0,6.0,1,36
2015-01-04,0,-2,-3,0,-1,-3,100,100,100,1036,1035,1034,0.0,0.0,0.0,11,2,0.0,0.0,1,193
2015-01-05,9,6,3,7,6,2,100,94,87,1028,1025,1020,10.0,9.0,4.0,19,11,0.0,5.0,1,197
2015-01-06,9,4,1,9,4,0,100,88,71,1025,1020,1015,10.0,9.0,5.0,24,16,0.0,5.0,1,222
2015-01-07,11,7,3,10,6,2,100,88,76,1024,1018,1014,10.0,10.0,7.0,39,21,0.0,4.0,1,209
2015-01-08,11,8,5,10,6,3,94,85,71,1024,1019,1014,10.0,9.0,5.0,37,21,0.0,3.0,1,233
2015-01-09,15,11,8,12,9,5,88,79,67,1018,1014,1011,10.0,10.0,8.0,58,37,0.0,5.0,1,242
2015-01-10,14,9,4,11,3,-3,88,68,46,1017,1012,1004,10.0,10.0,8.0,53,39,0.0,4.0,1,265
2015-01-11,8,6,4,4,2,0,81,72,66,1022,1020,1018,10.0,10.0,10.0,37,27,0.0,3.0,0,246
2015-01-12,11,8,6,10,8,5,100,92,82,1006,1004,999,10.0,9.0,4.0,40,26,0.0,6.0,1,225
2015-01-13,9,4,1,8,3,1,100,91,76,1001,1000,999,10.0,9.0,1.0,27,18,0.0,4.0,1,233
2015-01-14,9,4,1,8,3,0,100,88,76,1005,999,985,10.0,10.0,10.0,52,24,0.0,4.0,1,205
2015-01-15,11,7,4,9,3,1,94,84,70,994,986,981,10.0,9.0,7.0,45,35,0.0,3.0,1,218
2015-01-16,7,2,-2,3,1,-3,93,85,66,1012,1004,994,10.0,10.0,10.0,27,16,0.0,3.0,1,250
2015-01-17,5,2,-1,3,1,-3,100,88,81,1012,1010,1009,10.0,10.0,10.0,21,16,0.0,2.0,1,222
2015-01-18,5,3,1,2,1,-1,100,84,65,1014,1012,1011,10.0,10.0,9.0,19,11,0.0,2.0,0,325
2015-01-19,4,1,-3,0,-2,-3,100,84,70,1015,1013,1011,10.0,10.0,10.0,13,6,0.0,5.0,0,240
2015-01-20,3,-1,-4,1,-1,-4,100,90,75,1011,1007,1002,10.0,9.0,6.0,24,10,0.0,3.0,1,131
2015-01-21,4,3,2,3,2,1,100,97,93,1014,1008,1001,10.0,6.0,4.0,24,14,0.0,7.0,1,110
2015-01-22,4,0,-3,1,-1,-4,100,89,70,1025,1021,1014,10.0,6.0,0.0,13,8,0.0,4.0,1,64
2015-01-23,8,1,-5,7,1,-5,100,92,81,1025,1021,1015,8.0,6.0,3.0,24,13,0.0,5.0,1,195
2015-01-24,7,4,2,5,1,-1,93,74,66,1030,1025,1017,10.0,10.0,8.0,29,18,0.0,2.0,1,288
2015-01-25,9,6,2,7,4,1,93,86,76,1030,1027,1025,10.0,10.0,10.0,26,16,0.0,4.0,0,230
2015-01-26,9,7,5,8,4,2,93,78,66,1028,1024,1020,10.0,10.0,7.0,27,18,0.0,4.0,0,301
2015-01-27,9,6,2,6,3,0,100,85,76,1028,1024,1016,10.0,10.0,10.0,24,11,0.0,4.0,0,238
2015-01-28,10,6,2,8,2,-3,93,77,53,1015,1001,995,10.0,10.0,10.0,48,29,0.0,3.0,1,252
2015-01-29,4,2,1,2,1,0,100,90,81,994,981,976,10.0,9.0,1.0,35,26,0.0,3.0,1,252
2015-01-30,7,3,0,3,1,-2,100,87,66,980,979,974,10.0,9.0,2.0,26,14,0.0,3.0,1,269
2015-01-31,6,3,1,2,1,-1,100,79,65,992,985,979,10.0,9.0,3.0,39,26,0.0,5.0,1,315
2015-02-01,5,3,2,-2,-2,-4,70,65,61,1005,1002,998,10.0,10.0,10.0,40,31,0.0,3.0,0,321
2015-02-02,3,0,-2,-1,-3,-4,93,76,60,1006,1005,1004,10.0,9.0,2.0,21,13,0.0,2.0,1,311
2015-02-03,5,2,0,1,-1,-3,87,81,75,1016,1010,1004,10.0,10.0,10.0,27,14,0.0,2.0,0,358
2015-02-04,5,2,0,0,-1,-2,93,78,70,1026,1022,1016,10.0,10.0,8.0,24,14,0.0,3.0,0,337
2015-02-05,4,2,0,3,1,-1,100,89,70,1031,1028,1025,10.0,9.0,5.0,23,16,0.0,3.0,1,14
2015-02-06,5,2,-1,0,-1,-2,93,81,65,1035,1033,1031,10.0,10.0,10.0,29,18,0.0,2.0,0,33
2015-02-07,5,2,0,2,2,-1,93,86,81,1038,1037,1035,8.0,8.0,6.0,19,13,0.0,6.0,0,1
2015-02-08,9,4,0,3,2,0,100,75,58,1040,1039,1037,9.0,8.0,6.0,14,8,0.0,1.0,0,307
2015-02-09,9,4,1,4,3,1,100,85,71,1035,1034,1033,10.0,9.0,6.0,27,16,0.0,4.0,0,318
2015-02-10,5,3,2,3,2,2,100,90,81,1034,1031,1028,9.0,6.0,1.0,13,8,0.0,7.0,0,200
2015-02-11,5,4,4,2,2,1,87,86,76,1028,1023,1022,10.0,7.0,4.0,8,6,0.0,8.0,0,161
2015-02-12,4,2,1,1,0,-1,87,79,75,1022,1018,1012,10.0,8.0,5.0,16,8,0.0,7.0,0,178
2015-02-13,9,6,3,6,5,0,93,89,76,1012,998,994,10.0,9.0,5.0,29,19,0.0,6.0,1,149
2015-02-14,9,7,5,7,6,4,100,90,82,1007,1003,996,10.0,9.0,8.0,19,13,0.0,6.0,1,72
2015-02-15,8,7,5,6,5,5,100,89,81,1015,1014,1013,5.0,3.0,1.0,16,10,0.0,7.0,0,109
2015-02-16,7,6,4,7,4,2,100,90,81,1024,1016,1012,10.0,7.0,4.0,27,13,0.0,5.0,1,283
2015-02-17,9,4,-1,2,0,-1,100,75,50,1040,1036,1025,10.0,10.0,10.0,24,16,0.0,2.0,0,251
2015-02-18,11,6,1,6,4,0,100,82,67,1039,1033,1027,10.0,10.0,10.0,29,18,0.0,4.0,0,211
2015-02-19,9,7,5,8,6,3,100,92,81,1026,1016,1010,10.0,8.0,3.0,26,19,0.0,5.0,1,212
2015-02-20,7,4,1,5,3,1,100,89,76,1010,1004,999,10.0,10.0,10.0,14,10,0.0,2.0,1,244
2015-02-21,7,4,2,2,1,0,93,79,61,1004,1001,999,10.0,10.0,10.0,32,16,0.0,3.0,1,285
2015-02-22,7,3,0,6,3,-1,100,92,87,1006,998,989,10.0,8.0,4.0,42,23,0.0,5.0,1,192
2015-02-23,6,3,2,3,2,1,93,81,70,989,988,987,10.0,10.0,8.0,37,27,0.0,3.0,1,220
2015-02-24,8,6,3,3,2,0,93,75,57,1012,1005,987,10.0,10.0,10.0,42,31,0.0,3.0,1,258
2015-02-25,12,7,3,9,7,2,100,87,67,1015,1014,1011,10.0,10.0,9.0,21,10,0.0,6.0,1,223
2015-02-26,11,6,1,10,4,-2,100,80,53,1016,1011,1007,10.0,9.0,6.0,37,19,0.0,4.0,1,264
2015-02-27,9,4,-1,3,1,-2,93,75,57,1019,1017,1014,10.0,10.0,10.0,23,14,0.0,2.0,0,226
2015-02-28,11,8,5,8,7,3,100,86,71,1014,1005,996,10.0,9.0,3.0,40,23,0.0,5.0,1,201
2015-03-01,9,7,5,4,3,1,87,73,58,1000,997,993,10.0,9.0,6.0,45,31,0.0,3.0,1,237
2015-03-02,8,4,2,1,-1,-5,93,65,40,1012,1008,1001,10.0,10.0,5.0,45,27,0.0,2.0,1,249
2015-03-03,8,4,2,3,0,-4,100,72,46,1020,1014,1011,10.0,10.0,10.0,35,23,0.0,1.0,1,247
2015-03-04,10,6,2,2,1,-1,87,70,54,1038,1030,1020,10.0,10.0,10.0,34,18,0.0,3.0,0,288
2015-03-05,9,4,0,5,3,-1,93,78,66,1039,1037,1035,10.0,10.0,10.0,26,14,0.0,6.0,0,233
2015-03-06,13,9,6,5,3,2,87,70,47,1035,1030,1025,10.0,10.0,10.0,39,21,0.0,4.0,0,213
2015-03-07,16,11,7,8,6,4,82,67,48,1025,1021,1020,10.0,10.0,10.0,45,29,0.0,3.0,0,214
2015-03-08,11,9,8,10,7,4,100,87,76,1025,1021,1019,10.0,9.0,6.0,29,21,0.0,6.0,1,257
2015-03-09,11,4,-1,10,6,-2,94,89,81,1025,1021,1018,10.0,9.0,7.0,34,19,0.0,5.0,0,205
2015-03-10,12,6,1,5,1,-1,100,68,41,1031,1030,1024,10.0,10.0,9.0,16,10,0.0,1.0,0,353
2015-03-11,13,7,2,8,5,-1,93,78,58,1030,1026,1024,10.0,8.0,3.0,27,14,0.0,4.0,1,171
2015-03-12,13,11,9,8,3,-3,93,61,38,1027,1023,1020,10.0,8.0,3.0,27,16,0.0,5.0,0,152
2015-03-13,12,8,4,6,4,0,100,79,51,1030,1025,1020,10.0,6.0,3.0,29,14,0.0,5.0,1,31
2015-03-14,8,6,4,2,1,-1,76,68,53,1033,1032,1030,10.0,10.0,10.0,27,23,0.0,5.0,0,49
2015-03-15,8,7,5,4,3,3,93,81,71,1031,1029,1027,10.0,9.0,7.0,27,23,0.0,6.0,0,48
2015-03-16,8,7,5,5,4,4,100,87,76,1024,1023,1022,9.0,7.0,4.0,21,13,0.0,5.0,1,81
2015-03-17,11,7,4,6,4,3,100,85,58,1029,1026,1023,7.0,4.0,2.0,11,6,0.0,5.0,1,55
2015-03-18,11,6,2,5,3,1,100,78,58,1034,1033,1030,8.0,4.0,0.0,21,10,0.0,4.0,1,25
2015-03-19,7,6,5,4,4,2,87,84,76,1035,1034,1032,5.0,4.0,2.0,21,13,0.0,6.0,0,31
2015-03-20,14,9,4,7,4,3,100,76,51,1032,1026,1023,10.0,6.0,1.0,23,10,0.0,3.0,0,315
2015-03-21,9,8,7,5,2,0,81,66,54,1029,1027,1023,10.0,10.0,9.0,35,23,0.0,5.0,0,13
2015-03-22,10,8,5,2,1,1,76,64,54,1029,1025,1022,10.0,10.0,10.0,11,8,0.0,4.0,0,104
2015-03-23,11,6,0,6,4,0,100,78,67,1016,1014,1012,10.0,9.0,6.0,24,14,0.0,5.0,1,272
2015-03-24,9,4,1,3,1,0,93,73,54,1012,1010,1008,10.0,10.0,10.0,27,13,0.0,2.0,1,307
2015-03-25,10,5,0,3,1,-1,100,74,50,1013,1011,1006,10.0,9.0,7.0,13,6,0.0,2.0,0,197
2015-03-26,11,7,4,8,3,0,100,71,47,1015,1006,998,10.0,9.0,4.0,37,23,0.0,4.0,1,282
2015-03-27,11,6,2,4,2,0,93,71,54,1020,1019,1015,10.0,10.0,10.0,21,11,0.0,3.0,0,219
2015-03-28,14,10,7,11,9,5,94,84,67,1017,1008,1003,10.0,10.0,10.0,34,21,0.0,6.0,1,216
2015-03-29,13,10,8,11,7,3,100,79,58,997,993,990,10.0,9.0,6.0,53,31,0.0,5.0,1,249
2015-03-30,11,7,4,10,4,-1,100,75,47,1011,1005,993,10.0,9.0,4.0,39,23,0.0,3.0,1,244
2015-03-31,12,8,5,10,3,-1,94,67,47,1017,1008,993,10.0,10.0,8.0,53,40,0.0,4.0,1,280
2015-04-01,10,7,3,7,2,-2,100,72,57,1023,1021,1015,10.0,10.0,4.0,32,23,0.0,4.0,1,260
2015-04-02,11,8,6,9,4,0,100,73,47,1022,1020,1014,10.0,9.0,2.0,21,11,0.0,3.0,1,237
2015-04-03,12,10,8,11,9,7,100,96,88,1020,1015,1014,9.0,4.0,1.0,21,13,0.0,6.0,1,208
2015-04-04,11,9,8,7,6,5,93,78,67,1024,1023,1021,10.0,10.0,10.0,24,19,0.0,7.0,1,24
2015-04-05,14,11,8,8,8,6,93,77,63,1027,1027,1026,10.0,9.0,6.0,16,8,0.0,5.0,0,42
2015-04-06,18,12,7,10,9,7,100,71,56,1033,1032,1032,10.0,9.0,2.0,16,11,0.0,2.0,0,28
2015-04-07,17,9,2,10,7,2,100,75,52,1037,1036,1034,10.0,6.0,0.0,16,6,0.0,3.0,1,343
2015-04-08,16,10,5,9,7,4,93,73,55,1035,1032,1029,9.0,7.0,5.0,14,8,0.0,2.0,1,89
2015-04-09,17,11,5,9,7,4,93,70,52,1029,1025,1022,9.0,8.0,5.0,13,8,0.0,1.0,0,169
2015-04-10,20,13,6,9,7,5,93,66,43,1022,1015,1011,10.0,6.0,3.0,27,13,0.0,3.0,1,168
2015-04-11,12,9,7,9,1,-3,88,57,35,1022,1016,1011,10.0,10.0,8.0,35,24,0.0,2.0,1,259
2015-04-12,15,11,7,8,6,4,87,68,55,1023,1022,1020,10.0,10.0,6.0,50,34,0.0,4.0,1,232
2015-04-13,16,7,-1,11,7,-1,100,81,63,1031,1029,1027,10.0,9.0,0.0,21,8,0.0,3.0,1,211
2015-04-14,19,13,8,10,9,7,100,75,56,1027,1023,1020,10.0,10.0,8.0,26,16,0.0,3.0,0,227
2015-04-15,20,14,8,11,8,3,100,71,33,1020,1017,1015,10.0,9.0,4.0,24,14,0.0,1.0,0,281
2015-04-16,17,13,9,9,7,2,87,69,59,1017,1015,1014,10.0,10.0,7.0,19,11,0.0,4.0,0,72
2015-04-17,12,9,6,5,3,0,87,65,51,1027,1022,1016,10.0,10.0,10.0,26,19,0.0,3.0,0,73
2015-04-18,14,9,5,5,4,3,87,65,51,1030,1029,1027,10.0,10.0,10.0,29,23,0.0,2.0,0,62
2015-04-19,13,10,7,5,3,2,71,62,51,1027,1024,1023,10.0,10.0,10.0,21,14,0.0,6.0,0,28
2015-04-20,17,10,3,7,6,2,100,68,52,1033,1031,1029,10.0,8.0,0.0,14,11,0.0,1.0,1,55
2015-04-21,17,10,4,8,6,3,93,65,52,1036,1035,1033,10.0,9.0,8.0,21,13,0.0,1.0,0,55
2015-04-22,16,10,5,10,6,3,87,70,62,1035,1030,1026,10.0,10.0,10.0,24,14,0.0,3.0,0,64
2015-04-23,17,11,6,8,7,4,100,74,48,1025,1019,1014,10.0,8.0,5.0,11,6,0.0,5.0,0,127
2015-04-24,16,10,5,10,8,5,100,75,59,1014,1009,1006,10.0,8.0,4.0,24,11,0.0,4.0,1,224
2015-04-25,17,13,11,11,9,7,94,71,55,1006,1004,1003,10.0,10.0,8.0,32,21,0.0,4.0,1,235
2015-04-26,13,10,7,4,1,-5,81,52,29,1009,1009,1008,10.0,10.0,10.0,26,13,0.0,3.0,0,5
2015-04-27,12,7,3,3,1,-3,87,60,35,1012,1011,1010,10.0,10.0,10.0,26,10,0.0,2.0,1,229
2015-04-28,13,8,3,3,0,-3,93,57,33,1016,1015,1011,10.0,10.0,10.0,35,21,0.0,2.0,0,242
